"year","region","carbon_emission_intensity"
"2005","Abruzzo","0.3250390241662307"
"2005","Basilicata","0.36049258848630816"
"2005","Calabria","0.68534191817133"
"2005","Campania","0.4185158001766615"
"2005","Emilia-Romagna","0.43096745395317715"
"2005","Friuli-Venezia Giulia","0.2666909259421016"
"2005","Lazio","0.599440739508853"
"2005","Liguria","0.9083239994781448"
"2005","Lombardia","0.5255310120725201"
"2005","Marche","0.16549118814531671"
"2005","Molise","0.8176447068010637"
"2005","Piemonte","0.4218112350159565"
"2005","Puglia","0.6416971463655305"
"2005","Sardegna","0.5412562959840961"
"2005","Sicilia","0.39031866969899004"
"2005","Toscana","0.4211292073480277"
"2005","Trentino-Alto Adige","0.07864843304021378"
"2005","Umbria","0.4340667549770677"
"2005","Valle d'Aosta","0.44162737344539926"
"2005","Veneto","0.9189849000493423"
"2006","Abruzzo","0.30364595165942"
"2006","Basilicata","0.3804056992283303"
"2006","Calabria","0.7795577048481962"
"2006","Campania","0.37087569682747173"
"2006","Emilia-Romagna","0.503686932658013"
"2006","Friuli-Venezia Giulia","0.37753704643290825"
"2006","Lazio","0.5939503488891431"
"2006","Liguria","0.9293385693169743"
"2006","Lombardia","0.46169618085213465"
"2006","Marche","0.1629069786546954"
"2006","Molise","0.9566176512066878"
"2006","Piemonte","0.4045001528346457"
"2006","Puglia","0.5934748908998052"
"2006","Sardegna","0.5239316571176799"
"2006","Sicilia","0.3935450613296686"
"2006","Toscana","0.4608241424389735"
"2006","Trentino-Alto Adige","0.07195093148216662"
"2006","Umbria","0.4125887321089299"
"2006","Valle d'Aosta",
"2006","Veneto","0.9927705292111698"
"2007","Abruzzo","0.35775200819916175"
"2007","Basilicata","0.3850975048998461"
"2007","Calabria","0.6408903664295689"
"2007","Campania","0.40313755002948126"
"2007","Emilia-Romagna","0.49897667725126066"
"2007","Friuli-Venezia Giulia","0.3317215632963405"
"2007","Lazio","0.7779960706667328"
"2007","Liguria","1.0064554347972738"
"2007","Lombardia","0.4755959328328056"
"2007","Marche","0.16697335056610976"
"2007","Molise","0.5135418369560316"
"2007","Piemonte","0.4462722213872576"
"2007","Puglia","0.5810526281917174"
"2007","Sardegna","0.5157316583652031"
"2007","Sicilia","0.34130057980737016"
"2007","Toscana","0.3994137144108401"
"2007","Trentino-Alto Adige","0.0753089851902552"
"2007","Umbria","0.4719379659702676"
"2007","Valle d'Aosta",
"2007","Veneto","0.9522072168125411"
"2008","Abruzzo","0.5435235249626358"
"2008","Basilicata","0.4262669376725915"
"2008","Calabria","0.7036994320724449"
"2008","Campania","0.30064311994902676"
"2008","Emilia-Romagna","0.42879913021166505"
"2008","Friuli-Venezia Giulia","0.337093317962248"
"2008","Lazio","0.8692104272974734"
"2008","Liguria","0.8660396535879065"
"2008","Lombardia","0.45136314800838967"
"2008","Marche","0.14052371086112098"
"2008","Molise","0.42308421932308277"
"2008","Piemonte","0.40686409039195676"
"2008","Puglia","0.565926665792421"
"2008","Sardegna","0.526548632967401"
"2008","Sicilia","0.31158139903720583"
"2008","Toscana","0.38672287948464384"
"2008","Trentino-Alto Adige","0.06495450045183761"
"2008","Umbria","0.4769274846419994"
"2008","Valle d'Aosta",
"2008","Veneto","0.9591605318583102"
"2009","Abruzzo","0.32712230369461515"
"2009","Basilicata","0.30950853751572277"
"2009","Calabria","0.6068830219214396"
"2009","Campania","0.3004040829016146"
"2009","Emilia-Romagna","0.42740145687131353"
"2009","Friuli-Venezia Giulia","0.3179159683002778"
"2009","Lazio","0.9706173471782217"
"2009","Liguria","0.9686946408549614"
"2009","Lombardia","0.43279707883975915"
"2009","Marche","0.12558704650788075"
"2009","Molise","0.43950735630968985"
"2009","Piemonte","0.36575068792518056"
"2009","Puglia","0.4844256870519167"
"2009","Sardegna","0.45784491629529117"
"2009","Sicilia","0.2556083783165716"
"2009","Toscana","0.35563116446063175"
"2009","Trentino-Alto Adige","0.05544079301646094"
"2009","Umbria","0.458815190879807"
"2009","Valle d'Aosta",
"2009","Veneto","0.8684617433167545"
"2010","Abruzzo","0.4136801592168462"
"2010","Basilicata","0.2928300856596658"
"2010","Calabria","0.625213225511985"
"2010","Campania","0.292589063256684"
"2010","Emilia-Romagna","0.38015040031443176"
"2010","Friuli-Venezia Giulia","0.2949635407647576"
"2010","Lazio","1.0784624798035374"
"2010","Liguria","0.7740436990425895"
"2010","Lombardia","0.418579815444262"
"2010","Marche","0.12115192280646359"
"2010","Molise","0.5969888056796008"
"2010","Piemonte","0.38799244800103416"
"2010","Puglia","0.4328379906641656"
"2010","Sardegna","0.40490234458550234"
"2010","Sicilia","0.32240520883385393"
"2010","Toscana","0.3410008836391357"
"2010","Trentino-Alto Adige","0.056917528738478114"
"2010","Umbria","0.4774997873532549"
"2010","Valle d'Aosta","0.40789194897277686"
"2010","Veneto","0.9425048054440469"
"2011","Abruzzo","0.42586361530540634"
"2011","Basilicata","0.30403737959662874"
"2011","Calabria","0.6507126339323573"
